TOWNID,oldpeopletotal
"('10701', '65000010')",0
"('10701', '65000020')",0
"('10701', '65000030')",0
"('10701', '65000040')",0
"('10701', '65000050')",0
"('10701', '65000060')",0
"('10701', '65000070')",0
"('10701', '65000080')",0
"('10701', '65000090')",0
"('10701', '65000100')",0
"('10701', '65000110')",0
"('10701', '65000120')",0
"('10701', '65000130')",0
"('10701', '65000140')",0
"('10701', '65000150')",0
"('10701', '65000160')",0
"('10701', '65000170')",0
"('10701', '65000180')",0
"('10701', '65000190')",0
"('10701', '65000200')",0
"('10701', '65000210')",0
"('10701', '65000220')",0
"('10701', '65000230')",0
"('10701', '65000240')",0
"('10701', '65000250')",0
"('10701', '65000260')",0
"('10701', '65000270')",0
"('10701', '65000280')",0
"('10701', '65000290')",0
"('10701', '63000010')",0
"('10701', '63000020')",0
"('10701', '63000030')",0
"('10701', '63000040')",0
"('10701', '63000050')",0
"('10701', '63000060')",0
"('10701', '63000070')",0
"('10701', '63000080')",0
"('10701', '63000090')",0
"('10701', '63000100')",0
"('10701', '63000110')",0
"('10701', '63000120')",0
"('10701', '68000010')",0
"('10701', '68000020')",0
"('10701', '68000030')",0
"('10701', '68000040')",0
"('10701', '68000050')",0
"('10701', '68000060')",0
"('10701', '68000070')",0
"('10701', '68000080')",0
"('10701', '68000090')",0
"('10701', '68000100')",0
"('10701', '68000110')",0
"('10701', '68000120')",0
"('10701', '68000130')",0
"('10701', '66000010')",0
"('10701', '66000020')",0
"('10701', '66000030')",0
"('10701', '66000040')",0
"('10701', '66000050')",0
"('10701', '66000060')",0
"('10701', '66000070')",0
"('10701', '66000080')",0
"('10701', '66000090')",0
"('10701', '66000100')",0
"('10701', '66000110')",0
"('10701', '66000120')",0
"('10701', '66000130')",0
"('10701', '66000140')",0
"('10701', '66000150')",0
"('10701', '66000160')",0
"('10701', '66000170')",0
"('10701', '66000180')",0
"('10701', '66000190')",0
"('10701', '66000200')",0
"('10701', '66000210')",0
"('10701', '66000220')",0
"('10701', '66000230')",0
"('10701', '66000240')",0
"('10701', '66000250')",0
"('10701', '66000260')",0
"('10701', '66000270')",0
"('10701', '66000280')",0
"('10701', '66000290')",0
"('10701', '67000010')",0
"('10701', '67000020')",0
"('10701', '67000030')",0
"('10701', '67000040')",0
"('10701', '67000050')",0
"('10701', '67000060')",0
"('10701', '67000070')",0
"('10701', '67000080')",0
"('10701', '67000090')",0
"('10701', '67000100')",0
"('10701', '67000110')",0
"('10701', '67000120')",0
"('10701', '67000130')",0
"('10701', '67000140')",0
"('10701', '67000150')",0
"('10701', '67000160')",0
"('10701', '67000170')",0
"('10701', '67000180')",0
"('10701', '67000190')",0
"('10701', '67000200')",0
"('10701', '67000210')",0
"('10701', '67000220')",0
"('10701', '67000230')",0
"('10701', '67000240')",0
"('10701', '67000250')",0
"('10701', '67000260')",0
"('10701', '67000270')",0
"('10701', '67000280')",0
"('10701', '67000290')",0
"('10701', '67000300')",0
"('10701', '67000310')",0
"('10701', '67000320')",0
"('10701', '67000330')",0
"('10701', '67000340')",0
"('10701', '67000350')",0
"('10701', '67000360')",0
"('10701', '67000370')",0
"('10701', '64000010')",0
"('10701', '64000020')",0
"('10701', '64000030')",0
"('10701', '64000040')",0
"('10701', '64000051')",0
"('10701', '64000052')",0
"('10701', '64000060')",0
"('10701', '64000070')",0
"('10701', '64000080')",0
"('10701', '64000090')",0
"('10701', '64000100')",0
"('10701', '64000110')",0
"('10701', '64000121')",0
"('10701', '64000122')",0
"('10701', '64000130')",0
"('10701', '64000140')",0
"('10701', '64000150')",0
"('10701', '64000160')",0
"('10701', '64000170')",0
"('10701', '64000180')",0
"('10701', '64000190')",0
"('10701', '64000200')",0
"('10701', '64000210')",0
"('10701', '64000220')",0
"('10701', '64000230')",0
"('10701', '64000240')",0
"('10701', '64000250')",0
"('10701', '64000260')",0
"('10701', '64000270')",0
"('10701', '64000280')",0
"('10701', '64000290')",0
"('10701', '64000300')",0
"('10701', '64000310')",0
"('10701', '64000320')",0
"('10701', '64000330')",0
"('10701', '64000340')",0
"('10701', '64000350')",0
"('10701', '64000360')",0
"('10701', '64000370')",0
"('10701', '64000380')",0
"('10701', '10002010')",0
"('10701', '10002020')",0
"('10701', '10002030')",0
"('10701', '10002040')",0
"('10701', '10002050')",0
"('10701', '10002060')",0
"('10701', '10002070')",0
"('10701', '10002080')",0
"('10701', '10002090')",0
"('10701', '10002100')",0
"('10701', '10002110')",0
"('10701', '10002120')",0
"('10701', '10004010')",0
"('10701', '10004040')",0
"('10701', '10004030')",0
"('10701', '10004020')",0
